#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-20T14:17:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-20T14:17:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/391/159/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/391/159/table1&-out=Seq&-out=Pref&-out=Suff&-out=RAJ2000&-out=DEJ2000&-out=LRV&-out=LGRV&-out=FWHM&-out=NHI&-out=Flux&-out=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33910159
#Name: J/A+A/391/159
#Title: A search for Compact High-Velocity Clouds (De Heij+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	creator=De Heij V.	    First author or institution
#INFO	cites=bibcode:2002A&A...391..159D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/391/159	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33910159	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_391_159_table1:
#Name: J/A+A/391/159/table1
#Title: Catalog of high velocity HI features in the LDS
#Column	Seq	(I3)	Running ID number	[ucd=meta.id]
#Column	Pref	(A5)	Name-prefix (one of HVC, CHVC, CHVC:, CHVC?)	[ucd=src.class]
#Column	Suff	(A14)	Name-suffix (LLL.L+BB.B+VVV)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A7)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	LRV	(I4)	LSR (Local Standard of Rest) radial velocity	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	LGRV	(I4)	LGSR (Local Group Standard of Rest) velocity	[ucd=phys.veloc;pos.lg]
#Column	FWHM	(I3)	Velocity FWHM	[ucd=spect.line.width]
#Column	NHI	(F5.2)	Peak HI column density in units of 10^20^cm^-2^	[ucd=phys.columnDensity;stat.max]
#Column	Flux	(I5)	Total HI Flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Seq	Pref	Suff	RAJ2000	DEJ2000	LRV	LGRV	FWHM	NHI	Flux	Simbad
693	 HVC 	188.5-29.1-168	04 24.0	+05 44	-168	-131	 32	 0.10	   35	Simbad
694	 HVC 	189.0-32.8-187	04 12.7	+03 13	-187	-151	 47	 0.12	  182	Simbad
695	 HVC 	189.1-07.7+193	05 37.9	+17 12	 193	 217	 55	 0.08	   32	Simbad
696	 HVC 	189.8+50.6-103	09 49.7	+35 02	-103	-119	 28	 0.19	  400	Simbad
697	CHVC 	190.2-30.5-168	04 22.6	+03 47	-168	-137	 30	 0.25	 1140	Simbad
698	 HVC 	190.6-22.8-184	04 49.0	+07 44	-184	-158	 31	 0.12	   62	Simbad
699	 HVC 	190.7-22.2-115	04 51.3	+08 03	-115	 -90	 23	 1.07	18942	Simbad
700	 HVC 	190.9+13.8+220	07 03.4	+25 39	 220	 223	 56	 0.18	  211	Simbad
701	 HVC 	190.9+24.3-090	07 47.5	+29 28	 -90	 -94	 44	 0.13	   70	Simbad
702	CHVC?	190.9+60.4+093	10 36.9	+34 10	  93	  69	 30	 0.22	  324	Simbad
703	 HVC 	191.2+28.9-111	08 07.9	+30 37	-111	-119	 22	 0.12	   86	Simbad
704	 HVC 	191.5-13.1-355	05 23.9	+12 21	-355	-338	 77	 0.11	   86	Simbad
705	 HVC 	191.7+08.3+252	06 42.9	+22 36	 252	 255	 98	 0.21	  402	Simbad
706	 HVC 	191.8-30.1-113	04 27.0	+02 49	-113	 -89	 60	 0.13	  792	Simbad
707	 HVC 	192.2+12.0+192	06 58.3	+23 47	 192	 190	 93	 0.15	   42	Simbad
708	 HVC 	192.2+21.0-092	07 34.8	+27 15	 -92	 -99	 30	 0.44	 2909	Simbad
709	 HVC 	192.3+55.5+334	10 13.4	+33 38	 334	 309	  6	 0.05	   48	Simbad
710	 HVC 	193.7+13.5+234	07 06.9	+23 05	 234	 225	 98	 0.19	  126	Simbad
711	 HVC 	193.8+08.9+236	06 49.0	+21 00	 236	 229	 67	 0.15	  143	Simbad
712	 HVC 	193.9-12.7+245	05 30.3	+10 32	 245	 251	 54	 0.09	   63	Simbad
713	 HVC 	194.5+73.5-287	11 38.1	+31 09	-287	-322	 87	 0.08	   62	Simbad
714	 HVC 	195.6+17.0-093	07 23.8	+22 48	 -93	-113	 32	 0.06	   53	Simbad
715	 HVC 	196.4+26.0-096	08 01.9	+25 21	 -96	-124	 25	 0.06	   72	Simbad
716	 HVC 	196.5+55.8-098	10 15.1	+31 14	 -98	-135	 29	 0.13	  135	Simbad
717	 HVC 	196.6-10.9-333	05 42.1	+09 13	-333	-341	 88	 0.18	   54	Simbad
718	 HVC 	196.7-07.6-356	05 54.0	+10 45	-356	-366	 78	 0.09	   27	Simbad
719	 HVC 	196.9-06.1+226	05 59.7	+11 16	 226	 213	 81	 0.12	   45	Simbad
720	 HVC 	197.2-17.7-114	05 19.9	+05 14	-114	-120	 52	 0.21	 1018	Simbad
721	 HVC 	197.4-10.5-126	05 45.1	+08 44	-126	-138	 97	 0.23	 2878	Simbad
722	 HVC 	197.4-32.3-133	04 30.0	-02 24	-133	-130	 33	 0.12	   96	Simbad
723	CHVC:	197.5-12.0-106	05 40.2	+07 51	-106	-117	 25	 0.27	  284	Simbad
724	 HVC 	197.6+36.1+104	08 46.2	+27 18	 104	  67	 28	 0.05	   18	Simbad
725	 HVC 	198.0-24.3-091	04 58.4	+01 14	 -91	 -96	 32	 0.25	  271	Simbad
726	 HVC 	198.3-78.3-092	01 40.7	-23 39	 -92	 -62	 94	 0.22	 1088	Simbad
727	 HVC 	198.4+25.2-230	08 01.4	+23 21	-230	-266	 84	 0.12	   28	Simbad
728	 HVC 	199.3-08.4-350	05 56.1	+08 07	-350	-372	 75	 0.14	   36	Simbad
729	CHVC?	200.2+29.7+080	08 22.2	+23 20	  75	  30	 29	 0.28	  118	Simbad
730	 HVC 	200.4+27.3-385	08 12.5	+22 24	-385	-430	 45	 0.09	   21	Simbad
731	CHVC 	200.6+52.3+107	10 00.0	+28 29	 107	  59	 22	 0.17	   89	Simbad
732	 HVC 	200.7+27.5-313	08 13.8	+22 15	-313	-359	 41	 0.10	   24	Simbad
733	CHVC:	200.7-16.0-098	05 32.2	+03 13	 -98	-120	 31	 0.40	  730	Simbad
734	 HVC 	201.7+08.1-356	07 00.1	+13 37	-356	-399	 71	 0.09	   21	Simbad
735	CHVC?	202.2+30.4+057	08 27.4	+21 55	  57	   6	 26	 0.57	 1796	Simbad
736	 HVC 	203.5+25.8+244	08 10.8	+19 18	 244	 186	 37	 0.10	   37	Simbad
737	CHVC?	204.2+29.8+075	08 27.5	+20 09	  61	   0	 34	 0.79	  777	Simbad
738	 HVC 	204.5+13.3-348	07 24.4	+13 24	-348	-406	 82	 0.12	   25	Simbad
739	 HVC 	205.4-76.0-128	01 52.6	-24 28	-128	-108	 24	 0.11	  166	Simbad
740	 HVC 	206.5+27.2+153	08 20.5	+17 18	 153	  83	 79	 0.16	  226	Simbad
741	 HVC 	207.3+27.1-394	08 21.0	+16 33	-394	-467	 69	 0.14	  124	Simbad
742	 HVC 	207.4+12.6-113	07 26.7	+10 32	-113	-184	 85	 0.20	 1079	Simbad
743	 HVC 	207.7+12.8+254	07 28.1	+10 21	 254	 182	132	 0.16	  297	Simbad
744	 HVC 	207.9+27.3-123	08 22.6	+16 11	-123	-199	144	 0.36	 2132	Simbad
745	 HVC 	208.0+77.5+102	11 55.2	+27 30	 102	  53	 62	 0.09	  626	Simbad
746	 HVC 	208.1+06.9-113	07 07.2	+07 25	-113	-185	  9	 0.09	  425	Simbad
747	 HVC 	208.1+57.2+125	10 24.9	+25 03	 125	  59	128	 0.11	  168	Simbad
748	 HVC 	209.1+14.2+215	07 35.8	+09 44	 215	 137	 81	 0.09	   48	Simbad
749	 HVC 	210.6+18.6+328	07 54.3	+10 21	 328	 242	 29	 0.08	   36	Simbad
750	 HVC 	211.1+66.6+107	11 07.3	+25 28	 107	  42	103	 0.13	  788	Simbad
751	 HVC 	211.7+21.0+102	08 04.9	+10 25	 102	  11	 40	 0.09	  203	Simbad
752	 HVC 	212.7+24.0-147	08 17.7	+10 55	-147	-242	 52	 0.09	   33	Simbad
753	 HVC 	213.8+26.0+116	08 26.6	+10 52	 116	  17	 19	 0.28	 1793	Simbad
754	 HVC 	213.8+62.2-126	10 49.4	+23 26	-126	-200	  6	 0.07	  174	Simbad
755	 HVC 	214.0+27.4+180	08 32.2	+11 17	 180	  80	 61	 0.14	   53	Simbad
756	 HVC 	216.6+55.4-112	10 22.9	+20 04	-112	-200	 14	 0.19	 4120	Simbad
757	 HVC 	216.8+28.5-100	08 40.3	+09 31	-100	-210	 45	 0.11	  756	Simbad
758	 HVC 	217.0-21.5+132	05 40.7	-13 04	 132	  45	 59	 0.08	   90	Simbad
759	 HVC 	217.6+12.5-381	07 44.2	+01 36	-381	-496	 81	 0.11	  155	Simbad
760	 HVC 	217.8+19.1-132	08 08.2	+04 31	-132	-247	 60	 0.10	   77	Simbad
761	CHVC 	217.9+28.7+145	08 43.1	+08 42	 145	  31	  7	 0.09	   56	Simbad
762	 HVC 	218.1-17.2+102	05 58.6	-12 11	 102	   5	 49	 0.15	  629	Simbad
763	 HVC 	218.3+37.0+107	09 13.9	+12 01	 107	  -4	 25	 0.07	  101	Simbad
764	CHVC 	218.4-87.9-260	01 00.7	-27 18	-260	-229	 29	 0.15	  102	Simbad
765	 HVC 	218.8-20.4+121	05 47.5	-14 09	 121	  26	 26	 0.13	  107	Simbad
766	 HVC 	218.9+69.5+135	11 22.4	+23 16	 135	  62	 39	 0.07	    9	Simbad
767	 HVC 	218.9-38.7+143	04 36.3	-20 58	 143	  75	114	 0.13	   87	Simbad
768	CHVC 	219.2+24.2+226	08 28.7	+05 40	 226	 105	 98	 0.21	   92	Simbad
769	 HVC 	220.6+26.0+118	08 37.7	+05 21	 118	  -7	144	 0.38	 2603	Simbad
770	 HVC 	220.7-15.3+122	06 09.9	-13 39	 122	  13	 55	 0.19	  380	Simbad
771	 HVC 	221.9+37.2-107	09 19.8	+09 33	-107	-230	 47	 0.09	 1436	Simbad
772	 HVC 	222.0-12.9+121	06 20.9	-13 48	 121	   4	 32	 0.14	  236	Simbad
773	 HVC 	222.1+17.9+131	08 11.6	+00 15	 131	  -2	 27	 0.10	  194	Simbad
774	 HVC 	222.2+40.7-390	09 32.7	+10 52	-390	-511	 40	 0.06	   18	Simbad
775	 HVC 	222.4-22.4+100	05 45.4	-18 01	 100	  -6	 35	 0.14	  631	Simbad
776	 HVC 	222.5+22.9-096	08 29.9	+02 20	 -96	-230	114	 0.12	  550	Simbad
777	 HVC 	222.8+26.1-193	08 41.8	+03 38	-193	-326	118	 0.14	  254	Simbad
778	 HVC 	223.9+47.8+244	10 00.9	+12 57	 244	 127	 34	 0.10	  107	Simbad
779	 HVC 	223.9-19.4+127	05 59.2	-18 08	 127	  10	 20	 0.11	  119	Simbad
780	 HVC 	224.0+36.2-324	09 19.4	+07 32	-324	-455	 89	 0.10	   35	Simbad
781	 HVC 	224.5-15.1+118	06 17.2	-16 56	 118	  -7	 47	 0.11	   94	Simbad
782	CHVC?	224.6+35.9+082	09 19.2	+06 59	  82	 -51	 36	 0.16	  307	Simbad
783	CHVC 	224.6-08.0+188	06 43.6	-13 57	 188	  56	 21	 0.15	  110	Simbad
784	 HVC 	224.8-34.0+137	05 02.0	-23 58	 137	  41	 27	 0.11	  154	Simbad
785	CHVC 	225.0-41.9+176	04 28.6	-26 15	 176	  96	 60	 0.20	  253	Simbad
786	CHVC 	226.5-33.5+101	05 05.9	-25 14	 101	  -1	 27	 0.40	  507	Simbad
787	 HVC 	227.5+56.5-263	10 37.1	+14 51	-263	-375	 66	 0.11	  173	Simbad
788	 HVC 	227.6+58.3-426	10 44.1	+15 37	-426	-535	 51	 0.09	  101	Simbad
789	 HVC 	227.7-13.1+137	06 29.8	-18 53	 137	  -1	 67	 0.34	 1007	Simbad
790	 HVC 	227.8+55.8-425	10 34.8	+14 24	-425	-539	 34	 0.10	   53	Simbad
791	 HVC 	228.0+31.6-121	09 10.0	+02 23	-121	-269	121	 0.22	  845	Simbad
792	CHVC?	228.9-74.2-168	02 02.0	-30 22	-174	-182	 33	 0.16	  136	Simbad
793	 HVC 	229.2-19.1+141	06 08.8	-22 36	 141	   5	 18	 0.18	  202	Simbad
794	 HVC 	229.4+51.8-145	10 22.3	+11 40	-145	-270	 46	 0.07	   25	Simbad
795	 HVC 	229.4-13.9+123	06 29.9	-20 42	 123	 -21	 33	 0.09	  161	Simbad
796	CHVC 	229.5+60.6+151	10 54.5	+15 51	 151	  43	 23	 0.08	   28	Simbad
797	 HVC 	232.1-19.4+146	06 12.0	-25 16	 146	   0	 56	 0.15	  220	Simbad
798	 HVC 	232.2+15.5+106	08 22.9	-09 17	 106	 -65	 25	 0.53	   14	Simbad
799	 HVC 	232.9+28.6+105	09 08.7	-02 46	 105	 -61	 47	 0.20	  986	Simbad
800	 HVC 	233.6-10.9+152	06 49.0	-23 11	 152	 -11	 15	 0.39	   71	Simbad
801	 HVC 	233.7+33.4+113	09 25.9	-00 44	 113	 -51	 26	 0.36	  895	Simbad
802	 HVC 	233.8-17.5+174	06 22.7	-26 02	 174	  20	 29	 0.14	  319	Simbad
803	CHVC?	235.3-73.7-150	02 02.7	-32 10	-157	-174	 23	 0.12	  102	Simbad
804	 HVC 	235.4+11.5+141	08 15.5	-14 01	 141	 -41	 60	 0.24	    8	Simbad
805	 HVC 	235.6+33.7+148	09 30.7	-01 53	 148	 -21	 41	 0.20	  208	Simbad
806	CHVC?	236.7+49.8+078	10 25.4	+06 42	  78	 -67	 37	 0.14	  293	Simbad
807	 HVC 	237.9+40.7+150	09 57.6	+00 43	 150	 -14	 30	 0.10	  177	Simbad
808	 HVC 	238.1+43.3+112	10 06.5	+02 06	 112	 -49	 33	 0.34	 1258	Simbad
809	 HVC 	238.6+32.8+155	09 33.6	-04 25	 155	 -24	 17	 0.33	  933	Simbad
810	 HVC 	239.6+34.6+179	09 41.3	-03 59	 179	   1	 14	 0.08	   70	Simbad
811	 HVC 	239.8+62.6-114	11 11.8	+12 40	-114	-235	 72	 0.16	  849	Simbad
812	 HVC 	239.9+16.4+103	08 42.3	-14 58	 103	 -93	 80	 0.55	   48	Simbad
813	CHVC?	241.0+53.4+089	10 43.5	+06 41	  89	 -57	 60	 0.18	  281	Simbad
814	 HVC 	241.5+22.5+119	09 06.4	-12 36	 119	 -78	 66	 0.18	  300	Simbad
815	 HVC 	243.7+37.3+160	09 58.2	-04 57	 160	 -25	 21	 0.24	  819	Simbad
816	 HVC 	243.8+20.0+112	09 03.5	-15 53	 112	 -93	 31	 0.17	  436	Simbad
817	 HVC 	244.3+14.6+121	08 46.5	-19 29	 121	 -89	 20	 0.35	  145	Simbad
818	 HVC 	244.9+48.8+105	10 35.4	+01 50	 105	 -59	 51	 0.11	  139	Simbad
819	 HVC 	246.4+39.1+120	10 09.1	-05 21	 120	 -68	 34	 0.38	  767	Simbad
820	 HVC 	247.3+34.0+126	09 55.9	-09 18	 126	 -72	 27	 0.13	  111	Simbad
821	 HVC 	247.9+31.0+099	09 48.1	-11 43	  99	-105	121	 0.22	  864	Simbad
822	 HVC 	248.7+52.9+091	10 54.1	+02 53	  91	 -69	 28	 0.26	  950	Simbad
823	 HVC 	249.4+39.2+116	10 15.9	-07 01	 116	 -78	 67	 0.29	  528	Simbad
824	 HVC 	249.7+07.4+163	08 34.9	-27 58	 163	 -62	 39	 0.17	   89	Simbad
825	 HVC 	249.7+27.7+184	09 42.4	-15 02	 184	 -29	 25	 0.18	  150	Simbad
826	 HVC 	250.3+36.6+176	10 10.4	-09 16	 176	 -25	 31	 0.13	  218	Simbad
827	 HVC 	250.6+11.7+163	08 52.8	-26 05	 163	 -64	 26	 0.37	  652	Simbad
828	 HVC 	250.7+26.9+119	09 42.3	-16 15	 119	 -97	 30	 0.17	  617	Simbad
829	 HVC 	251.0+29.4+123	09 50.7	-14 43	 123	 -91	 91	 0.22	  509	Simbad
830	 HVC 	251.0+34.5+130	10 06.0	-11 10	 130	 -76	 30	 0.16	  334	Simbad
831	 HVC 	252.8+44.6+179	10 38.2	-04 56	 179	  -9	 27	 0.07	   80	Simbad
832	 HVC 	253.4+36.3+152	10 16.5	-11 16	 152	 -55	 29	 0.16	  206	Simbad
833	 HVC 	253.8+22.5+102	09 37.0	-21 22	 102	-126	 43	 0.19	   36	Simbad
834	 HVC 	254.1+28.4+173	09 55.8	-17 20	 173	 -49	 40	 0.09	   67	Simbad
835	 HVC 	255.3+27.0+145	09 54.8	-19 09	 145	 -81	 57	 0.26	  531	Simbad
836	 HVC 	256.6+31.2+114	10 10.4	-16 51	 114	-108	 35	 0.17	  342	Simbad
837	 HVC 	256.8+57.1+134	11 19.3	+02 45	 134	 -25	 27	 0.09	   81	Simbad
838	 HVC 	256.9+20.4+208	09 39.4	-24 49	 208	 -28	 21	 0.09	   30	Simbad
839	 HVC 	257.2+21.7+186	09 44.1	-24 07	 186	 -50	 17	 0.14	  111	Simbad
840	 HVC 	257.2+86.4+120	12 40.0	+24 33	 120	  70	 61	 0.06	   61	Simbad
841	 HVC 	257.3+26.9+171	10 00.1	-20 26	 171	 -59	 14	 0.19	  147	Simbad
842	 HVC 	257.5+17.3+140	09 31.1	-27 26	 140	-100	 42	 0.12	  762	Simbad
843	 HVC 	257.7+28.1+153	10 04.5	-19 49	 153	 -76	 43	 0.09	   32	Simbad
844	 HVC 	258.6+29.8+149	10 12.0	-19 01	 149	 -79	 32	 0.22	  404	Simbad
845	 HVC 	258.7+29.3+109	10 10.8	-19 27	 109	-120	 71	 0.24	  743	Simbad
846	 HVC 	259.5+20.1+198	09 46.1	-26 44	 198	 -43	 22	 0.14	  158	Simbad
847	 HVC 	259.8+27.5+114	10 08.8	-21 27	 114	-120	 18	 0.13	  200	Simbad
848	 HVC 	260.1+47.8+217	11 02.3	-05 46	 217	  26	 49	 0.10	   33	Simbad
849	 HVC 	260.5+43.4+119	10 52.2	-09 28	 119	 -84	 68	 0.19	  857	Simbad
850	 HVC 	260.6+36.4+094	10 34.8	-15 00	  94	-125	 78	 0.16	  658	Simbad
851	 HVC 	260.8+21.9+196	09 55.7	-26 14	 196	 -46	 19	 0.21	  330	Simbad
852	 HVC 	260.8+27.2+140	10 10.9	-22 18	 140	 -96	 21	 0.08	   76	Simbad
853	CHVC 	262.6+75.1+100	12 11.6	+15 25	 100	   2	 25	 0.22	  311	Simbad
854	 HVC 	263.0+47.3+172	11 07.2	-07 20	 172	 -23	 67	 0.13	   82	Simbad
855	CHVC 	263.1+27.0+152	10 17.2	-23 40	 152	 -88	 21	 0.52	  495	Simbad
856	 HVC 	263.2+57.8+106	11 31.8	+01 15	 106	 -57	 46	 0.15	  151	Simbad
857	 HVC 	264.8+55.3+117	11 29.2	-01 22	 117	 -56	 44	 0.26	  601	Simbad
858	 HVC 	264.9+35.1+124	10 43.2	-18 10	 124	-104	 25	 0.14	  148	Simbad
859	 HVC 	265.3+24.4+146	10 17.1	-26 59	 146	-100	 24	 0.55	 3979	Simbad
860	CHVC 	265.3+30.1+178	10 32.2	-22 24	 178	 -59	 30	 0.17	  142	Simbad
861	 HVC 	266.0+23.6+232	10 17.0	-28 00	 232	 -16	 30	 0.23	   46	Simbad
862	 HVC 	266.6+27.6+173	10 29.5	-25 06	 173	 -70	 24	 0.26	  378	Simbad
863	 HVC 	267.1+25.6+214	10 26.0	-27 00	 214	 -33	 18	 1.03	 7203	Simbad
864	 HVC 	268.0+35.2+135	10 52.3	-19 27	 135	 -96	 36	 0.27	 1459	Simbad
865	 HVC 	271.6+31.4+160	10 54.9	-24 16	 160	 -81	 22	 0.17	  124	Simbad
866	CHVC 	271.7+28.6+175	10 48.8	-26 44	 175	 -71	 24	 0.52	 1167	Simbad
867	CHVC 	278.3+46.1+108	11 42.2	-13 29	 108	-102	 34	 0.34	  364	Simbad
868	 HVC 	279.6+39.4+097	11 35.4	-20 03	  97	-131	 23	 0.08	  334	Simbad
869	 HVC 	281.9+72.3+101	12 25.9	+10 28	 101	 -14	 61	 0.09	   70	Simbad
870	 HVC 	282.7+32.4+125	11 34.6	-27 28	 125	-119	111	 0.59	 4259	Simbad
871	 HVC 	282.8+46.4+091	11 54.7	-14 12	  91	-118	 22	 0.19	  379	Simbad
872	 HVC 	282.9+44.0+103	11 51.9	-16 35	 103	-114	 35	 0.13	  309	Simbad
873	CHVC?	284.0-84.0-174	01 00.7	-32 47	-174	-167	 29	 0.19	  351	Simbad
874	 HVC 	286.9+35.1+100	11 53.3	-25 57	 100	-138	 28	 0.24	  597	Simbad
875	 HVC 	287.4+47.2+125	12 08.3	-14 20	 125	 -82	104	 0.15	  519	Simbad
876	 HVC 	289.0+87.1-305	12 48.3	+24 16	-305	-354	 65	 0.07	   16	Simbad
877	 HVC 	294.0+66.5-332	12 37.3	+03 55	-332	-468	 55	 0.10	   13	Simbad
878	 HVC 	297.2+46.3+111	12 35.0	-16 26	 111	 -94	 31	 0.22	  927	Simbad
879	 HVC 	300.9+63.9-370	12 47.9	+01 05	-370	-513	 95	 0.10	   20	Simbad
880	CHVC 	301.0+63.9-321	12 48.0	+01 01	-321	-465	 95	 0.08	   17	Simbad
881	 HVC 	305.9+64.3+187	12 56.5	+01 29	 187	  48	 84	 0.09	   23	Simbad
882	 HVC 	312.6+74.4+221	13 02.0	+11 44	 221	 124	 70	 0.09	   22	Simbad
883	 HVC 	316.4+66.0+168	13 13.1	+03 43	 168	  45	 35	 0.09	   40	Simbad
884	 HVC 	326.7+35.1-098	14 16.1	-23 53	 -98	-277	 34	 0.30	 1000	Simbad
885	CHVC 	328.2+80.1-309	13 09.1	+18 07	-309	-376	 31	 0.07	   15	Simbad
886	 HVC 	329.6+62.4+181	13 39.4	+02 04	 181	  64	 68	 0.07	   53	Simbad
887	 HVC 	330.7+31.5-112	14 36.0	-25 44	-112	-285	 49	 0.16	  443	Simbad
888	CHVC:	331.3+41.1-098	14 19.4	-16 56	 -98	-256	 38	 0.16	  156	Simbad
889	 HVC 	332.7+36.0-102	14 33.3	-20 56	-102	-264	 98	 0.22	  919	Simbad
890	 HVC 	335.7+28.6-144	14 59.2	-26 00	-144	-304	 44	 0.11	  179	Simbad
891	 HVC 	338.3+82.8+108	13 09.4	+21 09	 108	  54	 86	 0.18	  210	Simbad
892	 HVC 	338.5+65.6+161	13 47.3	+06 41	 161	  66	 20	 0.05	    9	Simbad
893	CHVC?	340.1+22.5-108	15 29.6	-28 43	-108	-257	 32	 0.23	  280	Simbad
894	 HVC 	340.9+76.1-324	13 26.9	+15 52	-324	-392	 60	 0.08	   21	Simbad
895	 HVC 	341.1+32.7-105	15 05.9	-19 59	-105	-244	111	 0.21	 1993	Simbad
896	CHVC 	342.8+31.5-141	15 13.8	-20 06	-141	-275	 27	 0.29	  603	Simbad
897	 HVC 	343.0+40.9-097	14 51.1	-12 32	 -97	-223	 62	 0.16	  227	Simbad
898	 HVC 	344.0+46.5-092	14 40.0	-07 34	 -92	-208	 74	 0.14	  435	Simbad
899	 HVC 	344.9+68.6+194	13 48.9	+10 32	 194	 114	 86	 0.11	   99	Simbad
900	 HVC 	345.3+24.1-111	15 41.6	-24 29	-111	-240	 26	 0.23	 1134	Simbad
901	 HVC 	345.9+66.0+189	13 56.6	+08 42	 189	 106	 48	 0.08	   69	Simbad
902	 HVC 	346.4+35.7-113	15 12.8	-15 00	-113	-232	 27	 0.32	  640	Simbad
903	 HVC 	346.6+20.9-097	15 54.8	-26 03	 -97	-222	 67	 0.18	  364	Simbad
904	 HVC 	346.7+45.5-096	14 48.4	-07 12	 -96	-205	146	 0.23	  737	Simbad
905	 HVC 	346.9+26.7-108	15 38.7	-21 31	-108	-230	 34	 0.27	  164	Simbad
906	 HVC 	347.6+33.5-094	15 21.7	-16 05	 -94	-210	 31	 0.19	  507	Simbad
907	 HVC 	347.6+38.4-105	15 08.8	-12 20	-105	-218	106	 0.19	  554	Simbad
908	 HVC 	348.2+41.8-142	15 01.4	-09 23	-142	-250	 47	 0.10	  272	Simbad
909	 HVC 	350.0+26.2-115	15 48.8	-20 04	-115	-226	 62	 0.11	   91	Simbad
910	 HVC 	350.8+34.2-104	15 28.1	-13 47	-104	-209	 58	 0.22	  940	Simbad
911	 HVC 	352.5+21.7-107	16 09.4	-21 36	-107	-209	 71	 0.28	 2374	Simbad
912	 HVC 	353.3+42.0-116	15 12.1	-06 42	-116	-208	 39	 0.09	  149	Simbad
913	 HVC 	355.8+36.2-106	15 34.3	-09 26	-106	-191	 57	 0.10	  198	Simbad
914	 HVC 	357.1+07.0-163	17 12.0	-27 28	-163	-241	 26	 0.19	  233	Simbad
915	 HVC 	357.4+41.2-110	15 23.1	-05 04	-110	-188	 72	 0.13	  120	Simbad
916	CHVC:	357.5+05.6+268	17 17.9	-27 59	 268	 192	 45	 0.13	   81	Simbad
917	CHVC 	357.5+12.4-181	16 53.4	-23 58	-181	-260	 51	 0.14	   97	Simbad

